timestamp,source,repo,branch,commit,pr,run_id,suite,device_id,device_label,device_soc,device_tier,device_api,model_name,model_runtime,model_backend,case,passed,expected_tool,actual_tool,expected_result_mode,actual_result_mode,chip_present,skill_result_present,message_saved,retry_seen,slot_fill_seen,failure_category,failures
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,set_an_alarm_for_11pm,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,wake_me_up_at_1130,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,set_an_alarm_for_tomorrow_at_9am,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,alarm_1130pm,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,can_you_wake_me_at_1130,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,i_need_an_alarm_for_11_tonight,False,set_alarm,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'set_alarm', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,remind_me_to_call_the_dentist_monday,False,add_reminder,add_to_list,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'add_reminder', got 'add_to_list'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,remind_me_at_9am_monday_to_call_the_dentist,False,add_reminder,set_alarm,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'add_reminder', got 'set_alarm'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,remind_me_to_pick_up_dry_cleaning_tomorrow_evening,False,add_reminder,set_alarm,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'add_reminder', got 'set_alarm'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,cancel_my_11pm_alarm,False,cancel_alarm,set_alarm,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'cancel_alarm', got 'set_alarm'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,turn_off_all_my_alarms,False,cancel_alarm,set_alarm,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'cancel_alarm', got 'set_alarm'"
2026-06-11T22:11:20Z,on_device,NickMonrad/kernel-ai-assistant,main,295070eead1d92ca871377f06cc4c94b6fabf97b,1299,on_device-2026-06-11T22-11-20Z-s21-exynos,skills,s21-exynos,S21,Exynos 2100,tracked,35,Gemma 4 E-2B,LiteRT,GPU,delete_my_alarm,False,cancel_alarm,set_alarm,direct_reply,direct_reply,False,False,False,False,False,wrong_tool,"intent: expected 'cancel_alarm', got 'set_alarm'"
